Brands,Title,Rating(out of 5),Price,Category,Segment
Bata,Men Pull On Formal Shoes,3.6,1039,Other,Low_segment
Skechers,Men Summits Sneakers,3.9,2732,Sneakers,Medium_segment
ASIAN,Men NITROEDGE-01 Running and Gym wear Running Shoes with Laces,4,1549,Running Shoes,Low_segment
Campus,Men First Running Shoes,4,1105,Running Shoes,Low_segment
Campus,Men Wells Running Shoes,4.2,800,Running Shoes,Low_segment
Cruiser,Mens Comfort & Style with Soft Cushioned Insole | Lightweight Comfort Classic Canvas Sneakers for Everyday Wear | Trendy Lace-Up Design for Casual Outfits (2629),3.8,999,Sneakers,Low_segment
Skechers,Women Summits Sneakers,4.3,2199,Sneakers,Medium_segment
ASIAN,"Men's Thar-01 Sports Running,Walking & Gym Shoes with Eva Sole Extra Jump Casual Sneaker Shoes for Men's & Boy's",3.8,753,Running Shoes,Low_segment
SPARX,Mens Sm 648 Running Shoe,4.1,948,Running Shoes,Low_segment
Puma,Men Seawalk Sneaker,4.1,2634,Sneakers,Medium_segment
BRUTON,301-AVIATOR High Top Stylish Shoes for Men,5,498,Other,Low_segment
HEALTH FIT,Orthopedic & Diabetic Sports Shoes Breathable Soft Sole Ultra-Lightweight Running/Walking Sports Shoes for Men's 721,3.6,1399,Running Shoes,Low_segment
Centrino,Men's Casual Shoes Fashion Lace Up Non-Slip Flats Trendy Stylish All Day Comfortable Lightweight Sneakers with Extra Comfort on Heel (3211),3.4,699,Sneakers,Low_segment
ASIAN,Men POWERPLAY-01 Running and Casual wear Walking Shoes with Laces,4,1199,Running Shoes,Low_segment
DOCTOR EXTRA SOFT,Men's Sports Shoes with Memory Foam Cushioned Insole|Running Walking Gym Training Jogging Athletics|Comfortable & Stylish|Casual & Lightweight|Slipon Sneaker Gent's & Boy's ART-2008,4.2,1398,Running Shoes,Low_segment
ATHCO,Mens Koach Memory Foam Comfort Shoes|Running|Walking|Training|Gym|Jogging|Sneaker|Athletic|Laceup|Flexible|Lightweight|Dailyuse|Sports|Casual|ExtraSoft|Fitness,4,729,Running Shoes,Low_segment
Boldfit,Shoes for Man Stylish Comfortable Sneakers for Man Soft Cushion Shoes for Men Casual Air Mesh Men Casual Shoe Lace Up Sneakers for Boys Lightweight Stylish Footwear for Boys,4.8,1399,Sneakers,Low_segment
Neeman's,"Sole Max Slip On's for Men | Casual Shoes for Men | Comfortable, Breathable and Flexible | Soft Trendy Stylish Shoes for Men | Walking Running Shoes",3.8,1529,Running Shoes,Low_segment
ATHCO,Mens Houston Memory Foam Comfort Shoes|Running|Walking|Training|Gym|Jogging|Sneaker|Athletic|Laceup|Flexible|Lightweight|Dailyuse|Sports|Casual|ExtraSoft|Fitness,3.9,729,Running Shoes,Low_segment
Puma,Men Maximal Comfort Walking Shoe,4,1699,Walking Shoes,Low_segment
Puma,Men Flyer Runner Engineer Knit Running Shoe,3.9,1899,Running Shoes,Low_segment
Reebok,Men's Sports Shoe | Energy Runner | Running Shoe | Ideal for Running & Gym,3.9,1508,Running Shoes,Low_segment
Woodland,Men's Sneaker,3.9,2545,Sneakers,Medium_segment
Puma,Men Ferrari Tune Cat Sneaker,4.1,2800,Sneakers,Medium_segment
On,Womens The Roger Advantage 1 Sneaker,4.4,10822,Sneakers,Premium_segment
Mochi,Men Mesh Formal Shoes,4.1,1191,Other,Low_segment
new balance,Mens 510 Hiking Shoe,2.5,2303,Other,Medium_segment
Reebok,Mens Ultra Lite Lp Running Shoe,4,1744,Running Shoes,Low_segment
Campus,Women Kurstin Walking Shoes,4.2,798,Walking Shoes,Low_segment
Kraasa,"ZONIC Men’s Lightweight Knit Sneakers with Memory Insole | Breathable, Anti-Skid Running, Walking & Gym Shoes (Sizes 6-10, Multiple Colors)",4.6,799,Running Shoes,Low_segment
DOCTOR EXTRA SOFT,Men's Lightweight Sports Shoes Memory Foam Cushioned Insole | Running Walking Gym Training Jogging Athletics | Comfortable & Stylish| Casual Slipon Sneaker Gent's Boy's DR-2006,4.2,899,Running Shoes,Low_segment
ATHCO,Mens Oxyflo Memory Foam Comfort Shoes|Running|Walking|Training|Gym|Jogging|Sneaker|Athletic|Slipon|Flexible|Lightweight|Dailyuse|Sports|Casual|ExtraSoft|Fitness,4.2,669,Running Shoes,Low_segment
DOCTOR EXTRA SOFT,"Mens Running Shoe with Memory Foam Insole & Ultrasoft Outsole|Sports,Gym,Training,Walking,Jogging,Casual,Athletics|Lightweight|Comfortable|Slipon Sneaker Lace-Up Gents Boys D-2009",4.2,1199,Running Shoes,Low_segment
Zaydn,Mens Club-Black-6 Sneaker,3.8,1499,Sneakers,Low_segment
Centrino,Men's Causal Sneakers | Sneakers for Men | Lace-Up Design | Rounded Front | Branded Casual Shoes with Soft Cushioned Insole | Fashion Sneakers| Anti Skid Sole (3322),3.6,849,Sneakers,Low_segment
Centrino,Sneaker for Men | Comfort & Style with Soft Cushioned Insole | Trendy Lace-Up Design for Casual Outfits (9201),4.6,569,Sneakers,Low_segment
Campus,Men Tormentor Running Shoes,4,1105,Running Shoes,Low_segment
SPARX,Women Pull On Sneaker Shoes,4.2,606,Sneakers,Low_segment
Reebok,Men's Sports Shoe| AdventTr | Gym Shoe| Idealfor Gym & Running,5,1511,Running Shoes,Low_segment
Skechers,Women Go Run 400 Running Shoe,4.1,1890,Running Shoes,Low_segment
ASIAN,"Men's Moonwalk-01 Sports Walking,Running & Gym Shoes with Eva Sole Extra Jump Casual Slip-on Shoes for Men's & Boy's…",3.9,669,Running Shoes,Low_segment
Puma,Men Relax Knit Sneaker,4.4,1714,Sneakers,Low_segment
Campus,Men Abacus Running Shoes,4,1105,Running Shoes,Low_segment
Puma,Women Maximal Comfort Walking Shoe,4.2,1699,Walking Shoes,Low_segment
Boldfit,Badminton Shoes Shuttle Non Marking Shoes for Badminton Men Light Badminton Shoes for Women & Badminton Shoes Men Breathable Non Marking Shoes for Badminton Anti Skid Pickleball Shoes Blue,3.9,999,Other,Low_segment
ASIAN,Men's Running Shoes for Men I Sport Shoes for Boys with Eva Sole for Extra Jump I Casual Shoes for Men Delta-21,3.8,849,Running Shoes,Low_segment
Puma,Women Maka Sneaker,4,2078,Sneakers,Low_segment
ASIAN,"Women's FIREFLY-09 Sports Running,Walking,Gym Shoes with Max Cushion Technology Lightweight Eva Sole with Memory Foam Insole Casual Sneaker Shoes for Women's & Girl's",4.1,749,Running Shoes,Low_segment
ATHCO,Mens Akron Memory Foam Comfort Shoes|Running|Walking|Training|Gym|Jogging|Sneaker|Athletic|Laceup|Flexible|Lightweight|Dailyuse|Sports|Casual|ExtraSoft|Fitness,3.9,699,Running Shoes,Low_segment
SPARX,Mens Sm 678 Running Shoe,4,1268,Running Shoes,Low_segment
Karaddi,Mens Casual Shoes for Men 6013 Lofars Men's Shoes Loafer,3.4,509,Casual Shoes,Low_segment
Reebok,Mens Velocity Runner Lp Running Shoe,3.6,1628,Running Shoes,Low_segment
Red Chief,Genuine Leather Derby Lace Up |Formal Shoes for Men for Office | PU Sole | RC3506,3.9,1907,Other,Low_segment
Puma,Women Anzarun Krick Pro Slipon Sneaker,3.8,2114,Sneakers,Medium_segment
adidas,Men's Clinch-X M Running Shoe,4,1712,Running Shoes,Low_segment
Bata,Men's Formal Shoe,3.6,689,Other,Low_segment
new balance,Unisex-Adult 720 Sneaker,3.7,2788,Sneakers,Medium_segment
Puma,Men Snatch V2 Sneaker,4,1399,Sneakers,Low_segment
Bata,"Womens Aster Sneakers, Grey, (5592852)",4.2,639,Sneakers,Low_segment
Campus,Men Og-35 Sneakers,4.4,1105,Sneakers,Low_segment
AVANT,Mens Ultra Light Running Running Shoe,3.7,575,Running Shoes,Low_segment
ASIAN,Men's Mexico-02 Casual Sneaker Shoes,3.7,769,Sneakers,Low_segment
JQR,"Men's East-Sports,Running,Walking, Training,Lightweight Shoes",4.1,749,Running Shoes,Low_segment
JQR,"Men's East Sports, Running,Walking, Training Shoes",4.3,749,Running Shoes,Low_segment
OFF LIMITS,"Men's STUSSYY Big and Tall Running Shoes, Sports Shoes, Specially Developed for Plus Size, Big Feet & Big Size, UK-12-14",4.1,2239,Running Shoes,Medium_segment
CULT,Mens Stratus Sports Shoes,5,2298,Other,Medium_segment
ASIAN,"Carnival-02 Men's High Top Casual Chunky Fashion Sneakers,Dancing Shoes | Basketball Shoes with Rubber Outsole for Boys…",4.1,999,Sneakers,Low_segment
Lancer,mens Wonder-6-fblk Sneaker,3.5,565,Sneakers,Low_segment
Bata,8512 Aston E Grey Casual Sneakers Sport Shoes for Mens | Ideal for Gym |Running| Walking |Sporty Aesthetics Shoes with Lightweight & Stylish Look,2.4,998,Running Shoes,Low_segment
HUNDRED,"Raze Badminton Shoes (Non Marking) | Also Perfect for Squash, Table Tennis, Volleyball, Basketball & Indoor Sports | Lightweight & Durable | X-Cushion, Active Grip Sole, Toe Assist",4,1549,Other,Low_segment
Skechers,Womens Go Walk 6 Vibrant Smile Slip On Shoe,4.2,4399,Other,Medium_segment
Liberty,"Leap7x NEATHER-1E Non-Lacing Walking Shoes for Men with EVA Sole| Suitable for Jogging, Workout, Gym & Outdoor Activity | Stylish, Lightweight & Comfortable Footbed | Sports Footwear",3.6,791,Walking Shoes,Low_segment
ASIAN,"Men's Wonder Sports Running,Walking & Gym Shoes with Casual Sneaker Lightweight Lace-Up Shoes for Men's Delta-20",4,949,Running Shoes,Low_segment
new balance,Womens 574 Sneaker,4.2,6402,Sneakers,Medium_segment
ASIAN,Men's Waterproof-05 Sports Running Shoes with Full Waterproof Synthetic Upper & Lightweight Eva Sole Casual Sneaker Shoes for Men's & Boy's,3.6,749,Running Shoes,Low_segment
Skechers,Men Sneaker Shoes,4.2,2517,Sneakers,Medium_segment
Boldfit,Boldfit Badminton Shoes Shuttle Non Marking Light Shoes for Men and Women Breathable Non Marking Shoes for Badminton Anti Skid Badminton Shoe Black- 9,4,1499,Other,Low_segment
Skechers,Womens Go Run 400 Sneaker,4.3,2316,Sneakers,Medium_segment
JQR,"Men's Special-001 Sports,Running,Walking, Training,Lightweight, Comfortable Shoes",4.2,968,Running Shoes,Low_segment
Campus,Men Strut Running Shoes,4.4,1409,Running Shoes,Low_segment
FAUSTO,Men Back Open Slip On Shoes for Casual Daily | No-Lace Outfit|Evening|Outdoor | Lightweight and Comfort with TPR Sole Flexiblity,3.2,701,Casual Shoes,Low_segment
Columbus,"GENPOWER Sports Shoes - Running, Walking, Training, Gym for Men's Outdoors for Men (Black)",4.5,1399,Running Shoes,Low_segment
Zaydn,ASH Sneaker for Men | Soft Cushioned Insole & Lightweight | Stylish Lace-Up Shoes with Causal Outfits | Trendy Sneakers | Shoes for Man | Low Top Sneaker Shoes,3.9,1499,Sneakers,Low_segment
Campus,Men Hurricane Running Shoes,4.1,849,Running Shoes,Low_segment
Campus,Men Vibgyor Running Shoes,4,839,Running Shoes,Low_segment
Puma,Women Snatch V2 Sneaker,4.1,1649,Sneakers,Low_segment
SPARX,Men SM-661 Sports Shoes,3.7,1299,Other,Low_segment
Campus,Men Trophy Sneakers,3.7,989,Sneakers,Low_segment
Nivia,"Appeal 3.0 Badminton Shoes | Your Secret Weapon for Court Domination | Stylish, Supportive, and Built to Win | Non-Marking Badminton Sports Shoes | (Crimson Red, White/Grey & Moonlite Blue) |",4,1199,Other,Low_segment
ASIAN,"Men's Sport Walking,Gym Shoes Lightweight with Extra max Cushion | Memory Foam Insole Shoes for Men's Superwalk-08",3.8,799,Walking Shoes,Low_segment
Puma,Women Zenobia Sneaker,3.9,1400,Sneakers,Low_segment
Liberty,Ethan-E Sports Non Lacing Walking Shoes for Kids with Mesh Outsole | Comfortable Footbed | Lightweight & Durable | Trendy Design,4.1,781,Walking Shoes,Low_segment
ASIAN,Men's BOSTON-02 White Casual Sneaker Shoes with Synthetic Upper Lightweight Comfortable Mid Top Sneaker Shoes for Men's & Boy's,3.8,695,Sneakers,Low_segment
Liberty,Lucy&Luke Quick-1 Velcro Walking Shoes for Kids with PVC Sole | Suitable for Outdoor & Jogging| Mesh Outsole| Padded Foam Insole | Comfortable & Durable | Sports Footwear,4.1,494,Walking Shoes,Low_segment
HEALTH FIT,Orthopedic & Diabetic Shoes Breathable Soft Sole Ultra-Lightweight Shoes for Men's 1731,3.4,1597,Other,Low_segment
Campus,Men Mike (N) Running Shoes,3.9,1105,Running Shoes,Low_segment
Skechers,Mens Go Walk Flex Sneaker,4.1,3299,Sneakers,Medium_segment
Campus,Men Crysta Pro Running Shoes,4,749,Running Shoes,Low_segment
Skechers,Mens Go Walk 6 Walking Shoe,4.5,5024,Walking Shoes,Medium_segment
Red Chief,Genuine Leather Classic Slip On | Casual Shoes for Men | RC3504 |TPR Sole,3.7,1849,Casual Shoes,Low_segment
Campus,Mens Rodeo Pro Running Shoes,4,701,Running Shoes,Low_segment
Woodland,Men's Leather Loafer,4,2520,Other,Medium_segment
SPARX,Mens Sm 884 Running Shoe,3.8,1521,Running Shoes,Low_segment
Skechers,Womens Summits Sneaker,4.8,3147,Sneakers,Medium_segment
adidas,Men Glide-Supreme M Running Shoe,4,1959,Running Shoes,Low_segment
Campus,Men Terminator (N) Running Shoes,3.9,1264,Running Shoes,Low_segment
Skechers,Men Dynamight Sneakers,4,3176,Sneakers,Medium_segment
Skechers,Women Bobs Geo New Aesthetics Lace Up Shoe,3.8,3366,Other,Medium_segment
Centrino,Men's Running Shoes | Ultra Lightweight & Breathable | Comfortable Walking & Workout Sneakers | Cushioned Casual Sports Shoes (9229),4.5,799,Running Shoes,Low_segment
Cruiser,Chunky Sneaker for Men | Bold & Stylish Design | Lightweight & Comfortable | Gymwear & Casual Outfits | Durable Footwear (2630),4,999,Sneakers,Low_segment
BRUTON,EVA Lite Sport Shoes Running Shoes for Men- Black,4,495,Running Shoes,Low_segment
OFF LIMITS,"Men's STUSSYY Plus Size Running Shoes, Sports Shoes, Specially Developed for Big Feet & Big Size, UK-12-14",3,2874,Running Shoes,Medium_segment
Bata,Women's Slip-on Walking Shoe,4,745,Walking Shoes,Low_segment
Bata,"Mens Frolic Casual Shoes,",3.4,1199,Casual Shoes,Low_segment
Campus,Women Cleat Walking Shoes,4.1,899,Walking Shoes,Low_segment
ASICS,Mens Gel-Trabuco 13 Running Shoes,4.3,6499,Running Shoes,Medium_segment
Red Chief,Genuine Leather Derby Lace Up |Formal Shoes for Men for Office | PU Sole,3.9,1907,Other,Low_segment
new balance,Unisex-Child 520 Running Shoe,3.2,2560,Running Shoes,Medium_segment
Puma,Men Xray Prism Sneaker,5,3000,Sneakers,Medium_segment
Puma,Men Alfarun Hyperwave Sneaker,3.8,1758,Sneakers,Low_segment
SPARX,Mens Sm 9039 Sneaker,4.1,629,Sneakers,Low_segment
Centrino,Mens Running Shoes Ultra Lightweight Breathable Comfortable Walking Shoes Casual Fashion Cushioned Sneakers Mesh Workout Shoes (6712),3.6,749,Running Shoes,Low_segment
hummel,Blaze Lace Up Sports Shoes for Men with Lightweight TPR Sole Comfortable Breathable and Slip Resitant Ideal for Running Walking Gym Trekking Hiking,4.1,1169,Running Shoes,Low_segment
Puma,Unisex Adult Smash 3.0 Sneaker,4.3,2420,Sneakers,Medium_segment
Puma,Women Swilla Running Shoe,3.9,2199,Running Shoes,Medium_segment
Red Chief,Sports Lace Up Low Ankle Running Shoes for Men | Sports Shoes for Men | Shoes for Man Stylish | R1712,4.5,2538,Running Shoes,Medium_segment
Puma,Women Supernal v3 Running Shoe,3.3,1774,Running Shoes,Low_segment
On,Mens Cloudventure Peak 2 Sneaker,3.9,13974,Sneakers,Premium_segment
Puma,Men Crater Sneaker,4.1,1620,Sneakers,Low_segment
Puma,Women Ultimate Ease Walking Shoe,4.1,1499,Walking Shoes,Low_segment
Lancer,Mens Hector-253wht-nbl Sneaker,3.3,607,Sneakers,Low_segment
new balance,Mens 680 Sneaker,5,2169,Sneakers,Medium_segment
adidas,Women Lace Up Sneaker Shoes,4.2,2468,Sneakers,Medium_segment
Puma,Women Robbin Sneaker,4.2,2294,Sneakers,Medium_segment
DOCTOR EXTRA SOFT,"Mens Running Shoe with Memory Foam Insole & Ultrasoft Outsole|Sports,Gym,Training,Walking,Jogging,Casual,Athletics|Lightweight|Comfortable|Slipon Sneaker Lace-Up Gents Boys D-2010",4.1,1199,Running Shoes,Low_segment
Puma,Unisex-Adult Nrgy Comet Running Shoes Running Shoes,3.9,1574,Running Shoes,Low_segment
Aerokick,"Men Casual Sneaker Shoe, Ltest Design Stylish Men Sneaker Casual Shoes, Walking, Running",3.9,599,Running Shoes,Low_segment
Centrino,Mens 7711 Casual Shoes | Lace-Up Casual Sneakers | Provide Comfort & Stylish,3.5,699,Sneakers,Low_segment
Puma,Men Trinity Mid Hybrid Sneaker,4,5827,Sneakers,Medium_segment
Skechers,Women Summits Quick Getaway Sneakers,4.5,2300,Sneakers,Medium_segment
Puma,Women Carina Slim SL Sneaker,3.8,1598,Sneakers,Low_segment
Reebok,Men's Sports Shoe | Advent Tr | Gym Shoe | Ideal for Gym & Running Black,3.7,1277,Running Shoes,Low_segment
Bata,Men Leather Casual Shoes,3.9,1699,Casual Shoes,Low_segment
Woodland,Men's Leather Casual Shoes,3.7,2290,Casual Shoes,Medium_segment
Skechers,Women D'Lux Walker Refreshing Mood Walking Shoes,4.1,2470,Walking Shoes,Medium_segment
Campus,Mens Stonic Running Shoe; Sport Shoe,4,1105,Running Shoes,Low_segment
Puma,Women Ivana Sneaker,4.1,1799,Sneakers,Low_segment
adidas,Men Base-Loud M Running Shoes,3.1,1969,Running Shoes,Low_segment
Skechers,Women Graceful Get Connected Sneakers,4.3,2170,Sneakers,Medium_segment
Puma,Mens Flexflare Running Shoe,3.8,2847,Running Shoes,Medium_segment
Puma,Men Hypnotic LS Sneaker,4.1,4107,Sneakers,Medium_segment
ASIAN,mens Wonder-11 Sneaker,3.8,699,Sneakers,Low_segment
Nike,Vomero 17 Men's Road Running Shoes,3.8,10037,Running Shoes,Premium_segment
Puma,Men Lazer Evo Sneaker,4,1470,Sneakers,Low_segment
Puma,Unisex Adult BMW MMS Neo Cat 2.0 Sneaker,3.8,2769,Sneakers,Medium_segment
adidas,Men Fluento M Running Shoe,3.9,2297,Running Shoes,Medium_segment
adidas,Men Runfalcon 3.0 Running Shoe,4.3,3226,Running Shoes,Medium_segment
Puma,Unisex Adult Pwrframe OP1 Abstract Sneaker,4,3849,Sneakers,Medium_segment
Puma,Unisex Adult BMW MMS Drift Cat Decima 2.0 Sneaker,4.2,4696,Sneakers,Medium_segment
Puma,Women Shuffle Max V2 Sneaker,3.5,1792,Sneakers,Low_segment
Puma,Men Reflect Lite Trail Running Shoe,4.4,4233,Running Shoes,Medium_segment
Skechers,Boy Hyper Blitz Hydro Tronix Casual Shoe,4.1,2045,Casual Shoes,Low_segment
Puma,Men Wish Max Running Shoe,4.1,2024,Running Shoes,Low_segment
Reebok,Mens Edge Identity Running Shoe,3.6,1299,Running Shoes,Low_segment
adidas,Women Breaknet 2.0 Casual Shoe,4.2,2289,Casual Shoes,Medium_segment
SPARX,Men Mesh Running Shoes,3.7,1399,Running Shoes,Low_segment
ATHCO,mens Wind Sneakers|Memory Foam Comfort|Laceup|Casual Shoes for Men|Soft Trendy Shoes For men|Fashion Sneaker|Genz|Millennials|Alpha|Footwear|Lightweight|EasyCare|Comfortable|Dailyuse|Extrasoft|SlipResistant|Durable|EasyCare|Shoes For Men's & Boy's,4.2,619,Sneakers,Low_segment
STANPHORD,Mens Fusion Sneakers | Sport Casual Lace Up Shoes | Training | Walking | Anti Slippery with Cushioned Insoles for Comfort,4.2,879,Sneakers,Low_segment
OFF LIMITS,Men's STUSSYY (Memory TECH) Running Shoes,3.6,1799,Running Shoes,Low_segment
Campus,Women Ciara Running Shoes,4.5,939,Running Shoes,Low_segment
new balance,Womens Nitrel Sneaker,3.8,2914,Sneakers,Medium_segment
LANCER,Mens Indus-215 Running Shoe,3.7,608,Running Shoes,Low_segment
Bata,Boy's Velcro School Shoes,4,687,Other,Low_segment
Bata,Men's Jazz Walking Shoe,3.8,424,Walking Shoes,Low_segment
Reebok,Mens Meccarick Slip on Walking Shoe,3.9,1511,Walking Shoes,Low_segment
Columbia,Women Crestwood Hiking & Trekking Shoes,4.5,8550,Other,Premium_segment
Puma,Women Runwise Sneaker,4.1,2079,Sneakers,Low_segment
ASIAN,Casual Sneaker Shoes for Men | Soft Cushioned Insole || MOSCOW-12 Sneakers for Men,3.7,645,Sneakers,Low_segment
Campus,Men Refresh Pro Running Shoes,4,895,Running Shoes,Low_segment
DOCTOR EXTRA SOFT,"Memory Foam Mens Running Shoe | Sports,Gym,Training,Walking,Jogging,Casual | Lightweight & Comfortable | Loafer Sneakers Lace-Up Athletics Moccasins Slipon for Gent's & Boy's D-2002",4.1,1233,Running Shoes,Low_segment
ASIAN,"Men's Cosco-13 Sports Running,Walking & Gym, School Shoes Lightweight Eva Sole Extra Jump Casual Sneaker Lace-Up Shoes for Men's & Boy's",3.8,719,Running Shoes,Low_segment
ATHCO,mens U-star Sneaker|Memory Foam Comfort|Laceup|Casual Shoes for Men|Soft Trendy Shoes For men|Fashion Sneaker|Genz|Millennials|Alpha|Footwear|Lightweight|EasyCare|Comfortable|Dailyuse|Extrasoft|SlipResistant|Durable|EasyCare|Shoes For Men's & Boy's,4.9,599,Sneakers,Low_segment
Bacca Bucci,Men Lace Up Shoes,4.1,1699,Other,Low_segment
Red Chief,Genuine Leather Formal Slip On Shoes for Men,4.7,2924,Other,Medium_segment
Bata,Slip-On Shoes for Men,3.8,513,Other,Low_segment
Skechers,Men Modern Cool-Keene Sneakers,4,2699,Sneakers,Medium_segment
ASIAN,"Men's Bullet-13 Sports Running Shoes Walking,Gym Casual Sneaker Lace-Up Lightweight Shoes for Gym",3.8,599,Running Shoes,Low_segment
Campus,Men Summit Running Shoes,4.2,1221,Running Shoes,Low_segment
ASIAN,"Men's CAPTAIN-13 Sports Running,Walking & Gym Shoes with Lightweight Eva Sole with Casual Sneaker Shoes for Men's & Boy's",3.8,719,Running Shoes,Low_segment
adidas,Men Ampligy M Running Shoe,4,4799,Running Shoes,Medium_segment
Campus,Men Og-11 Sneakers,4,899,Sneakers,Low_segment
Liberty,Boys School Uniform Shoe,3.7,424,Other,Low_segment
Bata,Boys Pull On School Shoes,4,809,Other,Low_segment
ASIAN,Men's Oxygen-05 Casual White Sneaker Shoes for Men's & Boy's…,4,1199,Sneakers,Low_segment
Power,Mens Extreme Leather Running Shoes,4,1699,Running Shoes,Low_segment
